ID,STNNBR,CASTNO,SAMPNO,DATE,TIME,lat,long,press,O2,FLOR,NOx,NOx_STD,NO2,PO4,NH4,PH_TOT,Iodate,Iodide,Total_I,NO3,Abs sal,Consv temp,pdens,Consv temp_resid,Abs sal_resid,PO4_resid,NO3_resid,13CW_frac_total,NEPIW_frac_total,AAIW_frac_total,13CW_frac,NEPIW_frac,AAIW_frac,aerobic_remin,anaerobic_remin,NO3_to_aerobic_remin_ratio,PO4_to_aerobic_remin_ratio,NO3_to_anaerobic_remin_ratio,PO4_to_anaerobic_remin_ratio
1103.0,1.0,1.0,3.0,6/30/2018,6:30:11,13.99666,-101.99637,674.359,1.936,0.0216,37.24925061,0.924901401,0.0,3.439116379,0.0,7.338867,0.0,382.0614837,382.0614837,37.24925061,34.734,6.1718,27.192,0.00021162229566038527,-0.01363161096777823,1.8467449791614855e-13,2.517808184165915e-12,0.08147355612889093,0.0,0.9185264438711089,0.08147355612889093,0.0,0.9185264438711089,0.20344705534045046,0.16881132965962478,15.828361228507898,1.0,-48.58966208152683,1.0
1104.0,1.0,1.0,4.0,6/30/2018,6:30:11,13.99634,-101.99632,575.667,1.906,0.018,33.8503465,0.194726477,0.363868225,3.390625,0.0,7.348678,0.0,430.1648513,430.1648513,33.48647828,34.74,6.9091,27.099,-6.761792168896719e-06,-6.712778915840545e-05,-2.979526302104851e-06,-4.087134980679252e-05,0.13256643388072814,0.08489079675829778,0.7825427693609738,0.13256643388072814,0.08489079675829778,0.7825427693609738,0.189009863609856,0.21509872556538906,15.791918730906264,1.0,-48.67648164327072,1.0
1105.0,1.0,1.0,5.0,6/30/2018,6:30:11,13.9959,-101.99632,475.147,1.814,0.0238,27.69798114,0.023694228,0.495642933,4.155711207,0.0,7.3635345,21.39739448,525.397834,546.7952285,27.20233821,34.762,8.0606,26.951,4.728105181062147e-06,4.2930290422660276e-05,1.7090468385383417e-06,2.326401118146748e-05,0.11844547968370175,0.405394504618683,0.4761600156976155,0.11844547968370175,0.405394504618683,0.4761600156976155,0.8100174175881106,0.5020801074305649,15.85317650340935,1.0,-48.48111858473091,1.0
1106.0,1.0,1.0,6.0,6/30/2018,6:30:11,13.99568,-101.99632,399.99,1.739,0.0282,24.04255278,0.05239892,0.733687566,3.379849138,0.0,7.371854,18.40011746,533.4605037,551.8606212,23.30886521,34.803,9.0865,26.823,-8.0953901139047e-06,-6.506139575854775e-05,-2.512141833399539e-06,-3.40804154498997e-05,0.34135450008994306,0.21995391977186127,0.4386915801381959,0.34135450008994306,0.21995391977186127,0.4386915801381959,0.2494401891378386,0.37053405578052745,15.750846943670656,0.9999999999999998,-48.73113811537383,1.0
1107.0,1.0,1.0,7.0,6/30/2018,6:30:11,13.9953,-101.99648,341.438,1.698,0.0304,25.43898037,0.178732762,0.786822529,3.476831897,0.0,7.380199,23.99823807,507.4418401,531.4400782,24.65215784,34.843,9.9443,26.713,4.582156395391834e-05,-0.002950957490285333,2.4281968435957425e-09,3.285997767221715e-08,0.560196169664889,1.1686879483407894e-09,0.43980382916642313,0.560196169664889,1.1686879483407894e-09,0.43980382916642313,0.40570650984343537,0.3752774216360205,15.817102254175552,1.0,-48.62266264887884,1.0
1108.0,1.0,1.0,8.0,6/30/2018,6:30:11,13.99502,-101.9967,301.458,1.66,0.0326,26.79845902,0.173309684,1.384059511,2.932650862,0.0,7.391718,18.25796204,552.1175993,570.3755613,25.41439951,34.88,10.603,26.628,0.0002995890772814924,-0.019045063798316164,-1.1004530620084552e-13,-1.4939161019356106e-12,0.6438197448067264,7.056391705765354e-14,0.3561802551932033,0.6438197448067264,7.056391705765354e-14,0.3561802551932033,0.07243370097447437,0.22917746325066246,15.552423633768905,1.0,-48.82611404747973,1.0
1109.0,1.0,1.0,9.0,6/30/2018,6:30:11,13.99476,-101.99682,258.499,1.68,0.0316,22.24675386,0.051142104,1.896280553,2.814116379,0.0,7.399581,18.00168184,558.7001654,576.7018472,20.35047331,34.907,11.178,26.545,0.0004460507130083613,-0.02779803138600556,1.1024514634527804e-13,1.4614087717745861e-12,0.7168078744559652,1.5132347122950656e-15,0.28319212554403367,0.7168078744559652,1.5132347122950656e-15,0.28319212554403367,-0.040692005318468526,0.2803344870219524,15.964108664498166,1.0,-48.517229070132025,0.9999999999999998
1110.0,1.0,1.0,10.0,6/30/2018,6:30:11,13.9945,-101.99692,226.427,1.591,0.0324,23.74312003,0.146841767,1.713496281,2.684806034,0.0,7.4145,21.98203369,604.8949783,626.877012,22.02962375,34.938,11.743,26.464,0.0006595892030246908,-0.040866129784170015,-2.2817303602096215e-13,-3.130118386707181e-12,0.7885354808632756,1.0429376630988287e-13,0.21146451913661996,0.7885354808632756,1.0429376630988287e-13,0.21146451913661996,-0.0553209191715557,0.22124195084041648,16.07002673817424,1.0,-48.910509211575494,1.0
2103.0,2.0,1.0,3.0,6/30/2018,21:33:59,13.99825,-102.99587,624.026,1.89,0.0209,35.79420632,0.575895103,0.372472142,3.417679558,0.0,7.360357,13.44125577,446.3680909,459.8093467,35.42173418,34.738,6.6942,27.127,1.6530206862785947e-05,-0.0010641964474324083,3.6536974556966584e-09,5.020490263518696e-08,0.14774321370720833,1.5720968070082174e-09,0.8522567847206947,0.14774321370720833,1.5720968070082174e-09,0.8522567847206947,0.2101231138632691,0.19205743916812193,15.818399531820873,1.0,-48.619210834074444,1.0
2104.0,2.0,1.0,4.0,6/30/2018,21:33:59,13.9983,-102.99596,525.667,1.804,0.0241,29.50812366,0.071037134,0.593272802,3.301657459,0.0,7.363321,19.27747671,501.2877251,520.5652018,28.91485086,34.755,7.5875,27.015,-6.078738431058994e-06,-5.87200719280645e-05,-2.3893083529680227e-06,-3.2645287361177114e-05,0.14627504008937647,0.22965649882164554,0.6240684610889778,0.14627504008937647,0.22965649882164554,0.6240684610889778,0.13167429496865965,0.26357905022664435,15.689813967563575,1.0,-48.77731294116152,1.0
2105.0,2.0,1.0,5.0,6/30/2018,21:33:59,13.9984,-102.99589,442.821,1.793,0.0245,29.51179861,0.062039789,0.172307057,3.138674033,0.0,7.365915,0.0,502.3004276,502.3004276,29.33949155,34.765,8.5022,26.886,9.639586524823329e-06,7.657827287985697e-05,3.194685662699648e-06,4.3282377106912405e-05,0.052523821850574526,0.6493202851279178,0.29815589302150747,0.052523821850574526,0.6493202851279178,0.29815589302150747,0.1441827458433093,0.2168741806379495,15.74863640018786,1.0,-48.73336381147929,1.0
2106.0,2.0,1.0,6.0,6/30/2018,21:33:59,13.99862,-102.99578,381.667,1.729,0.0261,25.30381077,0.405129995,0.405489063,3.047513812,0.598039655,7.375728,0.0,546.8593365,546.8593365,24.89832171,34.801,9.3963,26.772,1.0842351191087118e-05,8.420220013540813e-05,3.187482950761655e-06,4.306739226489498e-05,0.2508936527931404,0.4795098625231583,0.269596484683701,0.2508936527931404,0.4795098625231583,0.269596484683701,0.07853918221566066,0.26358513219309015,15.564963173816347,1.0,-48.83352833179966,0.9999999999999998
2107.0,2.0,1.0,7.0,6/30/2018,21:33:59,13.99864,-102.99583,329.555,1.7,0.0294,21.94397121,0.463384024,0.861535287,2.964640884,0.0,7.386716,21.22576684,503.6247308,524.8504976,21.08243592,34.858,10.309,26.662,0.00010023405019916609,-0.006378799681532854,1.7703749577435703e-11,2.39052333483869e-10,0.6064848012710807,8.650468775785633e-12,0.39351519872026913,0.6064848012710807,8.650468775785633e-12,0.39351519872026913,0.0010772287489952156,0.30358937625794846,15.086490583820606,1.0,-48.947474384551086,0.9999999999999998
2108.0,2.0,1.0,8.0,6/30/2018,21:33:59,13.9985,-102.99601,288.312,1.658,0.0312,20.36591183,0.423988597,1.709657449,2.815469613,0.011422708,7.394062,29.73466991,560.8813707,590.6160406,18.65625438,34.89,10.941,26.574,0.000295028870532299,-0.018321858221114696,-1.5720758028692216e-14,-2.147615418834903e-13,0.6867125671155183,6.333273352319013e-14,0.3132874328844185,0.6867125671155183,6.333273352319013e-14,0.3132874328844185,-0.08686293685991944,0.30453478937446066,16.063266297127633,1.0,-48.963289985486874,1.0
2109.0,2.0,1.0,9.0,6/30/2018,21:33:59,13.99855,-102.9961,268.115,1.638,0.0331,13.92473451,0.184512927,2.070780025,2.765745856,0.0,7.401175,42.85157105,469.6991979,512.550769,11.85395449,34.907,11.289,26.524,0.0003946834762190932,-0.024278087453168597,-1.999955756559757e-13,-2.7346125364147157e-12,0.7308876501872618,1.50693619573755e-13,0.2691123498125874,0.7308876501872618,1.50693619573755e-13,0.2691123498125874,-0.194191824852055,0.39637560974705577,16.16774518948194,1.0,-49.040456605209734,1.0
2110.0,2.0,1.0,10.0,6/30/2018,21:33:59,13.99842,-102.99617,248.927,1.62,0.0329,11.44569992,0.13559337,1.856170037,2.699447514,0.0,7.406693,62.29987453,559.2844168,621.5842913,9.589529883,34.915,11.445,26.502,0.0004451006956144532,-0.027327249343408865,-1.709743457922741e-13,-2.2857271630982723e-12,0.750691002626296,1.028551967178419e-13,0.24930899737360152,0.750691002626296,1.028551967178419e-13,0.24930899737360152,-0.2635657165916081,0.41479875762686486,16.112496506043293,1.0,-49.07914769136742,1.0
2111.0,2.0,1.0,11.0,6/30/2018,21:33:59,13.99845,-102.99612,225.039,1.628,0.0334,24.89722455,0.239923954,1.315517953,2.594475138,0.029023192,7.421745,25.38399317,558.1938142,583.5778074,23.5817066,34.933,11.743,26.46,0.0005828697984345155,-0.03586856377542773,-1.5982770662503753e-13,-2.1501023184100633e-12,0.7885257448982772,2.7928007987704244e-15,0.21147425510172027,0.7885257448982772,2.7928007987704244e-15,0.21147425510172027,-0.0989317783540001,0.1745143686500061,16.13497984484632,1.0,-49.0609284510449,0.9999999999999998
2112.0,2.0,1.0,12.0,6/30/2018,21:33:59,13.99863,-102.99603,215.873,1.583,0.033,25.65402334,0.058201019,0.956458935,2.716022099,0.088967118,7.421494,37.15590379,511.7263506,548.8822544,24.69756441,34.944,11.904,26.438,0.0006763062801277364,-0.04175773139973913,-4.5785597535541453e-14,-5.472955422192172e-13,0.8089690744010312,8.250016370163136e-16,0.1910309255989683,0.8089690744010312,8.250016370163136e-16,0.1910309255989683,-0.004929916413522447,0.2179030480742755,15.92849021044143,1.0,-40.00949485636084,1.0
