ID,STNNBR,CASTNO,SAMPNO,DATE,TIME,lat,long,press,O2,FLOR,NOx,NOx_STD,NO2,PO4,NH4,PH_TOT,Iodate,Iodide,Total_I,NO3,Abs sal,Consv temp,pdens,Consv temp_resid,Abs sal_resid,PO4_resid,NO3_resid,13CW_frac_total,NEPIW_frac_total,AAIW_frac_total,13CW_frac,NEPIW_frac,AAIW_frac,aerobic_remin,anaerobic_remin,NO3_to_aerobic_remin_ratio,PO4_to_aerobic_remin_ratio,NO3_to_anaerobic_remin_ratio,PO4_to_anaerobic_remin_ratio
8113.0,8.0,1.0,13.0,7/6/2018,6:09:54,14.00104,-109.00058,400.549,0.674,0.0259,30.90589123,0.338024738,0.0,2.99,0.01,7.369819,273.149693,198.3893004,471.5389934,30.90589123,34.792,9.2859,26.782,1.3762181294747352e-05,0.00010640418522332574,4.09413610113644e-06,5.61462541796984e-05,0.0011791642567531141,0.0023548359887423393,0.001175671732605121,0.0011791642567531141,0.0023548359887423393,0.001175671732605121,0.026191564275113134,0.010385252681299102,0.039354881054950885,3.510833468576701e-17,0.05319086189588271,3.510833468576701e-17
8114.0,8.0,1.0,14.0,7/6/2018,6:09:54,14.00086,-109.00042,349.533,0.649,0.0285,28.02438129,0.671893712,0.1,2.91,0.0,7.381832,0.0,539.7230921,539.7230921,27.92438129,34.827,9.8779,26.711,6.118935442191183e-06,4.308463050752724e-05,1.6755687144127872e-06,2.2807811907918027e-05,0.0004773380379321745,0.0009531234891975908,0.00047578545198772145,0.0004773380379321745,0.0009531234891975908,0.00047578545198772145,0.01863967156366496,0.011935118766703973,0.13486551797027885,6.080941944488117e-17,2.6591687699824473,4.965068306494546e-17
8115.0,8.0,1.0,15.0,7/6/2018,6:09:54,14.00074,-109.00035,300.772,0.63,0.0292,28.31205313,0.13665037,0.46,2.8,0.0,7.3920305,17.15263962,539.2698203,556.4224599,27.85205313,34.846,10.419,26.633,1.6083050042122573e-07,1.3522129421269727e-06,4.179147192301803e-08,5.690342417541791e-07,1.4988352130622444e-05,2.993593884427032e-05,1.4947586788078488e-05,1.4988352130622444e-05,2.993593884427032e-05,1.4947586788078488e-05,0.018110100159099866,0.011176625989458013,0.17542462212298476,0.0,6.142608661076877,4.965068306494546e-17
8116.0,8.0,1.0,16.0,7/6/2018,6:09:54,14.0007,-109.00022,251.274,0.608,0.0313,26.93391714,0.702600407,0.49,2.78,0.0,7.392197,17.47031222,545.7804516,563.2507638,26.44391714,34.867,10.902,26.564,1.3134059084619755e-05,0.00024554903813736595,0.00027140350755430217,1.6775441699923386e-05,0.00273128577264859,0.005465905062816666,0.002734619290168103,0.00273128577264859,0.005465905062816666,0.002734619290168103,0.027239373204992458,0.017661607316419557,0.2215956123650447,3.510833468576701e-17,4.112711142508502,3.510833468576701e-17
8117.0,8.0,1.0,17.0,7/6/2018,6:09:54,14.00069,-109.00023,201.343,0.615,0.0331,27.0044698,0.719920009,0.58,2.66,0.0,7.413896,17.72915656,552.1674633,569.8966199,26.4244698,34.933,11.706,26.467,4.395756784933536e-13,1.5502212361223122e-14,1.1335119367565878e-13,1.535913399912193e-12,5.819321647427251e-14,1.0535092614567517e-14,5.3872203778269964e-14,5.819321647427251e-14,1.0535092614567517e-14,5.3872203778269964e-14,0.03100230613620574,0.02541763712545356,0.32920821900253583,6.080941944488117e-17,6.960270964529456,3.510833468576701e-17
9104.0,9.0,1.0,4.0,7/6/2018,11:54:22,14.00098,-110.00092,599.595,0.703,0.0212,36.45110009,0.134942234,0.0,3.33,0.0,7.344731,414.1996893,11.79262242,425.9923117,36.45110009,34.727,7.0391,27.071,1.5494600281058478e-13,4.713207307250165e-15,2.1499789208810958e-14,2.7918452907467854e-13,0.0,3.935331118170032e-14,3.936181398434291e-14,0.0,3.935331118170032e-14,3.936181398434291e-14,0.02071362940527016,0.0123757975653754,0.010413484874549284,0.0,0.05236367587445668,7.850462293418876e-17
9105.0,9.0,1.0,5.0,7/6/2018,11:54:22,14.001,-110.0011,547.747,1.204,0.023,35.95925523,0.354521996,0.0,3.25,0.0,7.3498545,364.1570102,95.77910405,459.9361143,35.95925523,34.721,7.3887,27.017,4.1085467127009695e-13,9.099386852611548e-15,6.34963715537673e-14,8.721332485077804e-13,2.0162046692580395e-15,1.0579433837213646e-13,1.049304724934611e-13,2.0162046692580395e-15,1.0579433837213646e-13,1.049304724934611e-13,0.022367560288219807,0.012696948655634362,0.013171667339703853,4.965068306494546e-17,0.0607735882163129,3.510833468576701e-17
9106.0,9.0,1.0,6.0,7/6/2018,11:54:22,14.00082,-110.00086,473.394,0.669,0.0241,36.48806489,2.50905062,0.0,3.14,0.0,7.356357,184.4753365,256.7771626,441.2524991,36.48806489,34.749,8.1198,26.931,2.3103747480475093e-09,1.481711277289802e-11,7.55225871405235e-10,1.0505269993303259e-08,6.858682608241393e-10,1.958126074904411e-09,1.2722578377231773e-09,6.858682608241393e-10,1.958126074904411e-09,1.2722578377231773e-09,0.027730178418770603,0.013926214682125782,0.012988364267082855,0.0,0.11687434743786274,3.510833468576701e-17
9107.0,9.0,1.0,7.0,7/6/2018,11:54:22,14.00076,-110.00082,375.027,0.654,0.026,32.93186293,1.518137432,0.0,2.95,0.0,7.371536,74.06645933,361.3288272,435.3952865,32.93186293,34.805,9.5002,26.757,8.19472407290932e-06,6.148188384213852e-05,2.364523372027986e-06,3.2299348003776726e-05,0.0006812834242520809,0.001360487153532803,0.0006792037295627698,0.0006812834242520809,0.001360487153532803,0.0006792037295627698,0.02285827755026724,0.008769741474706846,0.02358963955092016,0.0,0.06961770509503816,4.965068306494546e-17
9108.0,9.0,1.0,8.0,7/6/2018,11:54:22,14.00072,-110.00078,296.784,0.651,0.0278,29.48360484,1.047959602,0.95,2.8,0.0,7.382521,67.19195703,449.5577767,516.7497337,28.53360484,34.841,10.353,26.641,3.3480302978878147e-06,7.81583516195207e-05,5.2622223415701926e-05,0.00029029266296563757,0.0008691810940980288,0.0017392115243946933,0.0008700304305005981,0.0008691810940980288,0.0017392115243946933,0.0008700304305005981,0.019230366503719728,0.011100316172168936,,,5.826859718968645,0.0
