ID,STNNBR,CASTNO,SAMPNO,DATE,TIME,lat,long,press,O2,FLOR,NOx,NOx_STD,NO2,PO4,NH4,PH_TOT,Iodate,Iodide,Total_I,NO3,Abs sal,Consv temp,pdens,Consv temp_resid,Abs sal_resid,PO4_resid,NO3_resid,13CW_frac_total,NEPIW_frac_total,AAIW_frac_total,13CW_frac,NEPIW_frac,AAIW_frac,aerobic_remin,anaerobic_remin,NO3_to_aerobic_remin_ratio,PO4_to_aerobic_remin_ratio,NO3_to_anaerobic_remin_ratio,PO4_to_anaerobic_remin_ratio
1103.0,1.0,1.0,3.0,6/30/2018,6:30:11,13.99666,-101.99637,674.359,1.936,0.0216,37.24925061,0.924901401,0.0,3.439116379,0.0,7.338867,0.0,382.0614837,382.0614837,37.24925061,34.734,6.1718,27.192,0.00019221977641503685,-0.013632226529935565,1.8118839761882555e-13,2.5011104298755527e-12,0.0814710938802556,0.0,0.9185289061197445,0.0814710938802556,0.0,0.9185289061197445,0.20346218244834752,0.16879429430903162,15.825064202824606,1.0,-48.59218545368025,1.0
1104.0,1.0,1.0,4.0,6/30/2018,6:30:11,13.99634,-101.99632,575.667,1.906,0.018,33.8503465,0.194726477,0.363868225,3.390625,0.0,7.348678,0.0,430.1648513,430.1648513,33.48647828,34.74,6.9091,27.099,-1.335870522733984e-05,-0.0001374143462484767,-5.913728977624544e-06,-8.112999732645676e-05,0.13178696044049812,0.08644806929534181,0.78176497026416,0.13178696044049812,0.08644806929534181,0.78176497026416,0.18916968512909138,0.2150793687450815,15.788459172352907,1.0,-48.678167316391345,0.9999999999999999
1105.0,1.0,1.0,5.0,6/30/2018,6:30:11,13.9959,-101.99632,475.147,1.814,0.0238,27.69798114,0.023694228,0.495642933,4.155711207,0.0,7.3635345,21.39739448,525.397834,546.7952285,27.20233821,34.762,8.0606,26.951,4.913407238404943e-06,4.318610295683811e-05,1.7691372757866475e-06,2.407871935972139e-05,0.1184482802398766,0.4053889505373123,0.4761627692228112,0.1184482802398766,0.4053889505373123,0.4761627692228112,0.8100822027595593,0.5020148868215306,15.850062821488397,0.9999999999999999,-48.48445413725847,1.0
1106.0,1.0,1.0,6.0,6/30/2018,6:30:11,13.99568,-101.99632,399.99,1.739,0.0282,24.04255278,0.05239892,0.733687566,3.379849138,0.0,7.371854,18.40011746,533.4605037,551.8606212,23.30886521,34.803,9.0865,26.823,-8.393734841405376e-06,-6.533285891663354e-05,-2.5960388576606874e-06,-3.521453275467934e-05,0.3413515511411124,0.21995974194751045,0.43868870691137724,0.3413515511411124,0.21995974194751045,0.43868870691137724,0.24946390668210877,0.37051076354820095,15.74698218850121,1.0,-48.7325867712763,1.0
1107.0,1.0,1.0,7.0,6/30/2018,6:30:11,13.9953,-101.99648,341.438,1.698,0.0304,25.43898037,0.178732762,0.786822529,3.476831897,0.0,7.380199,23.99823807,507.4418401,531.4400782,24.65215784,34.843,9.9443,26.713,4.161154833148828e-05,-0.002951091004177897,6.661338147750939e-15,1.4921397450962104e-13,0.5601956359832865,8.303604009411511e-15,0.43980436401670525,0.5601956359832865,8.303604009411511e-15,0.43980436401670525,0.4057405996778616,0.37524291520919595,15.81372328066255,1.0,-48.62493440736692,0.9999999999999999
1108.0,1.0,1.0,8.0,6/30/2018,6:30:11,13.99502,-101.9967,301.458,1.66,0.0326,26.79845902,0.173309684,1.384059511,2.932650862,0.0,7.391718,18.25796204,552.1175993,570.3755613,25.41439951,34.88,10.603,26.628,0.0002722243582962136,-0.01904593196832849,1.4477308241112041e-13,1.9753088054130785e-12,0.6438162721266709,3.280383445022968e-14,0.3561837278732964,0.6438162721266709,3.280383445022968e-14,0.3561837278732964,0.07243959454691905,0.22916887835141153,15.54709503842236,1.0,-48.82684072644401,1.0
1109.0,1.0,1.0,9.0,6/30/2018,6:30:11,13.99476,-101.99682,258.499,1.68,0.0316,22.24675386,0.051142104,1.896280553,2.814116379,0.0,7.399581,18.00168184,558.7001654,576.7018472,20.35047331,34.907,11.178,26.545,0.00040553531168008305,-0.02779931677310543,2.757793993168889e-13,3.723243935382925e-12,0.7168027329075739,0.0,0.28319726709242593,0.7168027329075739,0.0,0.28319726709242593,-0.04055698439671347,0.2801954814003594,15.962482217816873,1.0,-48.54944718433295,1.0
1110.0,1.0,1.0,10.0,6/30/2018,6:30:11,13.9945,-101.99692,226.427,1.591,0.0324,23.74312003,0.146841767,1.713496281,2.684806034,0.0,7.4145,21.98203369,604.8949783,626.877012,22.02962375,34.938,11.743,26.464,0.0005997758745763804,-0.040868027415143615,2.1671553440683056e-13,2.8705926524708048e-12,0.7885278903394132,0.0,0.21147210966058694,0.7885278903394132,0.0,0.21147210966058694,-0.05526379545710832,0.22117894447036993,16.080052250992292,1.0,-48.926499737103256,1.0
2103.0,2.0,1.0,3.0,6/30/2018,21:33:59,13.99825,-102.99587,624.026,1.89,0.0209,35.79420632,0.575895103,0.372472142,3.417679558,0.0,7.360357,13.44125577,446.3680909,459.8093467,35.42173418,34.738,6.6942,27.127,1.5006270793982424e-05,-0.001064244724908292,1.1102230246251565e-14,1.8474111129762605e-13,0.14774302110035423,8.375761021985822e-16,0.8522569788996449,0.14774302110035423,8.375761021985822e-16,0.8522569788996449,0.21014079704895827,0.1920396023038284,15.81503012322597,1.0,-48.621508584775874,1.0
2104.0,2.0,1.0,4.0,6/30/2018,21:33:59,13.9983,-102.99596,525.667,1.804,0.0241,29.50812366,0.071037134,0.593272802,3.301657459,0.0,7.363321,19.27747671,501.2877251,520.5652018,28.91485086,34.755,7.5875,27.015,-6.308203255755984e-06,-5.8972795372369546e-05,-2.469439902341719e-06,-3.373638354275954e-05,0.14627228381976662,0.2296619531210619,0.6240657630591715,0.14627228381976662,0.2296619531210619,0.6240657630591715,0.1316880022794587,0.2635657447390674,15.685502856990004,0.9999999999999999,-48.77840947491296,1.0
