ID,STNNBR,CASTNO,SAMPNO,DATE,TIME,lat,long,press,O2,FLOR,NOx,NOx_STD,NO2,PO4,NH4,PH_TOT,Iodate,Iodide,Total_I,NO3,Abs sal,Consv temp,pdens,Consv temp_resid,Abs sal_resid,PO4_resid,NO3_resid,13CW_frac_total,NEPIW_frac_total,AAIW_frac_total,13CW_frac,NEPIW_frac,AAIW_frac,aerobic_remin,anaerobic_remin,NO3_to_aerobic_remin_ratio,PO4_to_aerobic_remin_ratio,NO3_to_anaerobic_remin_ratio,PO4_to_anaerobic_remin_ratio
1103.0,1.0,1.0,3.0,6/30/2018,6:30:11,13.99666,-101.99637,674.359,1.936,0.0216,37.24925061,0.924901401,0.0,3.439116379,0.0,7.338867,0.0,382.0614837,382.0614837,37.24925061,34.734,6.1718,27.192,0.00019221977617069896,-0.01363222652994267,-2.7133850721838826e-14,-3.808509063674137e-13,0.08147109388022251,4.3735360188246166e-15,0.918528906119773,0.08147109388022251,4.3735360188246166e-15,0.918528906119773,0.2230358420433735,0.17459387349556,15.829877084838293,1.0,-48.57228469443436,1.0
1104.0,1.0,1.0,4.0,6/30/2018,6:30:11,13.99634,-101.99632,575.667,1.906,0.018,33.8503465,0.194726477,0.363868225,3.390625,0.0,7.348678,0.0,430.1648513,430.1648513,33.48647828,34.74,6.9091,27.099,-2.0876589944762714e-06,-2.0125880708121714e-05,-9.061568744250792e-07,-1.271565751039816e-05,0.1330876227939306,0.0838496052601095,0.78306277194596,0.1330876227939306,0.0838496052601095,0.78306277194596,0.20439282332521272,0.21999555104263444,15.794573194086405,1.0,-48.664725994810894,1.0
1105.0,1.0,1.0,5.0,6/30/2018,6:30:11,13.9959,-101.99632,475.147,1.814,0.0238,27.69798114,0.023694228,0.495642933,4.155711207,0.0,7.3635345,21.39739448,525.397834,546.7952285,27.20233821,34.762,8.0606,26.951,2.9478057536280745e-06,2.6062381728308992e-05,1.0579341258143416e-06,1.4623233372290656e-05,0.11825846012281019,0.4057680918878198,0.4759734479893701,0.11825846012281019,0.4057680918878198,0.4759734479893701,0.813991963320867,0.5050945512225058,15.849905545675131,1.0,-48.48474343254914,1.0
1106.0,1.0,1.0,6.0,6/30/2018,6:30:11,13.99568,-101.99632,399.99,1.739,0.0282,24.04255278,0.05239892,0.733687566,3.379849138,0.0,7.371854,18.40011746,533.4605037,551.8606212,23.30886521,34.803,9.0865,26.823,-4.980078213279171e-06,-3.9151134795645246e-05,-1.5354778281295723e-06,-2.1029577865050442e-05,0.3416416890444127,0.21938033255122164,0.43897797840436564,0.3416416890444127,0.21938033255122164,0.43897797840436564,0.2558102402611929,0.37306911734339654,15.749018664435194,1.0,-48.72910755931302,1.0
1107.0,1.0,1.0,7.0,6/30/2018,6:30:11,13.9953,-101.99648,341.438,1.698,0.0304,25.43898037,0.178732762,0.786822529,3.476831897,0.0,7.380199,23.99823807,507.4418401,531.4400782,24.65215784,34.843,9.9443,26.713,4.1617056334786186e-05,-0.0029510908593294973,1.3700180545583862e-09,1.8663907397353797e-08,0.5601956363500793,6.643935635708021e-10,0.4398043629855272,0.5601956363500793,6.643935635708021e-10,0.4398043629855272,0.4160147627544756,0.3775016493067143,15.815361163025193,1.0,-48.61906847649023,1.0
1108.0,1.0,1.0,8.0,6/30/2018,6:30:11,13.99502,-101.9967,301.458,1.66,0.0326,26.79845902,0.173309684,1.384059511,2.932650862,0.0,7.391718,18.25796204,552.1175993,570.3755613,25.41439951,34.88,10.603,26.628,0.0002722243581631645,-0.019045931968332753,5.417888360170764e-14,7.23332505003782e-13,0.6438162721266575,2.608944793818898e-14,0.3561837278733165,0.6438162721266575,2.608944793818898e-14,0.3561837278733165,0.077292929720745,0.2346055668149957,15.628161784012732,1.0,-47.93096779232457,1.0
1109.0,1.0,1.0,9.0,6/30/2018,6:30:11,13.99476,-101.99682,258.499,1.68,0.0316,22.24675386,0.051142104,1.896280553,2.814116379,0.0,7.399581,18.00168184,558.7001654,576.7018472,20.35047331,34.907,11.178,26.545,0.0004055353116822147,-0.02779931677310259,-4.303224443447107e-14,-5.623945753541193e-13,0.716802732907563,2.2041718171804202e-14,0.28319726709241494,0.716802732907563,2.2041718171804202e-14,0.28319726709241494,-0.023894725357525036,0.27186560408524757,16.02136296962106,1.0,-51.31627902653823,1.0
1110.0,1.0,1.0,10.0,6/30/2018,6:30:11,13.9945,-101.99692,226.427,1.591,0.0324,23.74312003,0.146841767,1.713496281,2.684806034,0.0,7.4145,21.98203369,604.8949783,626.877012,22.02962375,34.938,11.743,26.464,0.0005997758747456672,-0.040868027415143615,9.43689570931383e-14,1.3574918966696715e-12,0.7885278903394204,2.8705247925038595e-14,0.2114721096605509,0.7885278903394204,2.8705247925038595e-14,0.2114721096605509,-0.04398765204370869,0.2163113715303572,16.108846199064697,1.0,-50.92803969189224,1.0
2103.0,2.0,1.0,3.0,6/30/2018,21:33:59,13.99825,-102.99587,624.026,1.89,0.0209,35.79420632,0.575895103,0.372472142,3.417679558,0.0,7.360357,13.44125577,446.3680909,459.8093467,35.42173418,34.738,6.6942,27.127,1.5011182391688748e-05,-0.0010642446072857581,1.949260930445007e-09,2.728418664332821e-08,0.14774302129917924,8.489490264815993e-10,0.8522569778518717,0.14774302129917924,8.489490264815993e-10,0.8522569778518717,0.2284270888871433,0.19734900690631738,15.82020478124473,1.0,-48.60436033716722,1.0
2104.0,2.0,1.0,4.0,6/30/2018,21:33:59,13.9983,-102.99596,525.667,1.804,0.0241,29.50812366,0.071037134,0.593272802,3.301657459,0.0,7.363321,19.27747671,501.2877251,520.5652018,28.91485086,34.755,7.5875,27.015,-3.502656212273081e-06,-3.289181454491086e-05,-1.3624843600901214e-06,-1.8984993608839317e-05,0.1465614395465067,0.22908435373535907,0.6243542067181341,0.1465614395465067,0.22908435373535907,0.6243542067181341,0.14146417807299796,0.2675075620621719,15.694922698891066,1.0,-48.770429105259815,1.0
